county,B01001_001E,B01001H_001E,B01001B_001E,B01001C_001E,B01001D_001E,B01001I_001E,B08124_002E,B20017H_001E,B20017B_001E,B20017C_001E,B20017D_001E,B20017I_001E,B06009_005E,B06009_006E,state,S2301_C02_020E,S2301_C02_014E,S2301_C02_013E,S2301_C02_015E,S2301_C02_019E,S2301_C01_020EA,S2301_C01_014E,S2301_C01_013E,S2301_C01_015E,S2301_C01_019E,S2001_C01_002E,S1501_C02_033EA,S1501_C02_036E,S1501_C02_039E,S1501_C02_042E,S1501_C02_054E,S1703_C03_001E,S1701_C03_021E,S1701_C03_014E,S1701_C03_015E,S1701_C03_016E,S1701_C03_020E,S2701_C03_001E,S2701_C03_024E,S2701_C03_017E,S2701_C03_018E,S2701_C03_019E,S2701_C03_023E,C24010A_003E,C24010H_009E,C24010C_003E,C24010C_009E,C24010B_003E,C24010D_003E,C24010D_009E,C24010I_002E,DP03_0002E
003,558306,314898,140870,1482,31918,57030,122302,46257,33656,16069,61004,29741,81387,60301,10,63.5,70.2,67.1,66.5,71.6,,1240,109641,25214,39479,41013,,25.0,20.5,68.5,18.7,10.7,7.2,16.7,9.0,10.8,16.3,94.9,96.7,93.9,93.8,94.9,87.3,38817,41974,102,62,9464,6566,4259,14861,295445
005,230249,171855,26122,911,2854,21229,35076,36351,27309,21902,37727,28658,29406,21495,10,52.5,64.0,64.9,66.0,67.0,,815,20343,2338,13047,33584,,13.5,21.7,44.2,10.8,11.7,8.3,20.2,23.8,16.0,24.6,93.6,95.7,94.8,94.8,94.0,74.4,13241,16413,6,52,823,193,333,5495,106203
001,179124,108483,45803,1167,3756,13091,27110,36896,25789,24130,33505,32214,18299,11155,10,60.6,47.7,61.2,70.8,66.5,,1086,36158,3308,8776,33255,,23.7,13.2,41.0,20.5,13.2,9.8,18.9,17.4,12.2,17.6,92.7,93.0,94.1,90.7,89.0,86.7,7442,11066,102,28,2266,678,334,2945,87677
